,Cday,CT,bin,data
0,1,0,1,
1,1,0,2,
2,1,0,3,
3,1,0,4,
4,1,0,5,
5,1,0,6,
6,1,0,7,
7,1,0,8,
8,1,0,9,
9,1,0,10,
10,1,1,1,
11,1,1,2,
12,1,1,3,
13,1,1,4,
14,1,1,5,
15,1,1,6,
16,1,1,7,
17,1,1,8,
18,1,1,9,
19,1,1,10,
20,1,2,1,
21,1,2,2,
22,1,2,3,
23,1,2,4,
24,1,2,5,
25,1,2,6,
26,1,2,7,
27,1,2,8,
28,1,2,9,
29,1,2,10,
30,1,3,1,
31,1,3,2,
32,1,3,3,
33,1,3,4,
34,1,3,5,
35,1,3,6,
36,1,3,7,
37,1,3,8,
38,1,3,9,
39,1,3,10,
40,1,4,1,
41,1,4,2,
42,1,4,3,
43,1,4,4,
44,1,4,5,
45,1,4,6,
46,1,4,7,
47,1,4,8,
48,1,4,9,
49,1,4,10,
50,1,5,1,
51,1,5,2,
52,1,5,3,
53,1,5,4,
54,1,5,5,
55,1,5,6,
56,1,5,7,
57,1,5,8,
58,1,5,9,
59,1,5,10,
60,1,6,1,
61,1,6,2,
62,1,6,3,
63,1,6,4,
64,1,6,5,
65,1,6,6,
66,1,6,7,
67,1,6,8,
68,1,6,9,
69,1,6,10,
70,1,7,1,
71,1,7,2,
72,1,7,3,
73,1,7,4,
74,1,7,5,
75,1,7,6,
76,1,7,7,
77,1,7,8,
78,1,7,9,
79,1,7,10,
80,1,8,1,
81,1,8,2,
82,1,8,3,
83,1,8,4,
84,1,8,5,
85,1,8,6,
86,1,8,7,
87,1,8,8,
88,1,8,9,
89,1,8,10,
90,1,9,1,
91,1,9,2,
92,1,9,3,
93,1,9,4,
94,1,9,5,
95,1,9,6,
96,1,9,7,
97,1,9,8,
98,1,9,9,
99,1,9,10,
100,1,10,1,
101,1,10,2,
102,1,10,3,
103,1,10,4,
104,1,10,5,
105,1,10,6,
106,1,10,7,
107,1,10,8,
108,1,10,9,
109,1,10,10,
110,1,11,1,
111,1,11,2,
112,1,11,3,
113,1,11,4,
114,1,11,5,
115,1,11,6,
116,1,11,7,
117,1,11,8,
118,1,11,9,
119,1,11,10,
120,1,12,1,
121,1,12,2,
122,1,12,3,
123,1,12,4,
124,1,12,5,
125,1,12,6,
126,1,12,7,
127,1,12,8,
128,1,12,9,
129,1,12,10,
130,1,13,1,
131,1,13,2,
132,1,13,3,
133,1,13,4,
134,1,13,5,
135,1,13,6,
136,1,13,7,
137,1,13,8,
138,1,13,9,
139,1,13,10,
140,1,14,1,
141,1,14,2,
142,1,14,3,
143,1,14,4,
144,1,14,5,
145,1,14,6,
146,1,14,7,
147,1,14,8,
148,1,14,9,
149,1,14,10,
150,1,15,1,
151,1,15,2,
152,1,15,3,
153,1,15,4,
154,1,15,5,
155,1,15,6,
156,1,15,7,
157,1,15,8,
158,1,15,9,
159,1,15,10,
160,1,16,1,
161,1,16,2,
162,1,16,3,
163,1,16,4,
164,1,16,5,
165,1,16,6,
166,1,16,7,
167,1,16,8,
168,1,16,9,
169,1,16,10,
170,1,17,1,
171,1,17,2,
172,1,17,3,
173,1,17,4,
174,1,17,5,
175,1,17,6,
176,1,17,7,
177,1,17,8,
178,1,17,9,
179,1,17,10,
180,1,18,1,
181,1,18,2,
182,1,18,3,
183,1,18,4,
184,1,18,5,
185,1,18,6,
186,1,18,7,
187,1,18,8,
188,1,18,9,
189,1,18,10,
190,1,19,1,
191,1,19,2,
192,1,19,3,
193,1,19,4,
194,1,19,5,
195,1,19,6,
196,1,19,7,
197,1,19,8,
198,1,19,9,
199,1,19,10,
200,1,20,1,
201,1,20,2,
202,1,20,3,
203,1,20,4,
204,1,20,5,
205,1,20,6,
206,1,20,7,
207,1,20,8,
208,1,20,9,
209,1,20,10,
210,1,21,1,
211,1,21,2,
212,1,21,3,
213,1,21,4,
214,1,21,5,
215,1,21,6,
216,1,21,7,
217,1,21,8,
218,1,21,9,
219,1,21,10,
220,1,22,1,
221,1,22,2,
222,1,22,3,
223,1,22,4,
224,1,22,5,
225,1,22,6,
226,1,22,7,
227,1,22,8,
228,1,22,9,
229,1,22,10,
230,1,23,1,
231,1,23,2,
232,1,23,3,
233,1,23,4,
234,1,23,5,
235,1,23,6,
236,1,23,7,
237,1,23,8,
238,1,23,9,
239,1,23,10,
240,2,0,1,
241,2,0,2,
242,2,0,3,
243,2,0,4,
244,2,0,5,
245,2,0,6,
246,2,0,7,
247,2,0,8,
248,2,0,9,
249,2,0,10,
250,2,1,1,
251,2,1,2,
252,2,1,3,
253,2,1,4,
254,2,1,5,
255,2,1,6,
256,2,1,7,
257,2,1,8,
258,2,1,9,
259,2,1,10,
260,2,2,1,
261,2,2,2,
262,2,2,3,
263,2,2,4,
264,2,2,5,
265,2,2,6,
266,2,2,7,
267,2,2,8,
268,2,2,9,
269,2,2,10,
270,2,3,1,
271,2,3,2,
272,2,3,3,
273,2,3,4,
274,2,3,5,
275,2,3,6,
276,2,3,7,
277,2,3,8,
278,2,3,9,
279,2,3,10,
280,2,4,1,
281,2,4,2,
282,2,4,3,
283,2,4,4,
284,2,4,5,
285,2,4,6,
286,2,4,7,
287,2,4,8,
288,2,4,9,
289,2,4,10,
